"age","newspapers","tv","radio","websites","socmed","doctor","healthprof","gov","famfriend","vacdistrust"
52,1,4,1,1,1,1,1,1,1,3
36,3,3,3,3,3,2,2,4,3,2
24,2,2,2,3,3,2,2,2,2,3
19,2,2,2,2,2,1,1,3,3,3
46,4,4,3,4,2,1,1,4,2,1
32,2,2,2,3,2,1,2,2,2,2
33,1,3,1,2,3,1,1,3,2,2
63,2,4,1,2,2,1,1,1,1,3
44,2,2,1,1,1,1,1,2,1,2
51,1,4,3,4,3,2,2,3,2,1
57,1,4,3,4,1,1,3,4,1,1
18,1,4,4,4,3,2,2,3,3,1
51,1,2,1,3,1,3,2,2,3,2
67,2,4,4,3,1,1,1,2,2,2
60,1,4,1,4,4,1,1,4,2,3
51,4,4,4,3,2,1,3,3,2,1
58,4,4,4,3,1,1,1,2,3,2
58,1,4,2,4,4,1,1,2,2,2
28,1,4,4,4,4,1,3,4,4,2
66,1,4,1,3,1,1,1,2,1,1
20,1,2,2,1,3,1,1,2,3,1
20,1,3,1,3,1,1,1,1,4,1
35,2,3,2,1,1,2,2,3,2,2
53,3,3,2,4,2,1,1,2,2,2
29,1,4,3,3,4,1,1,1,4,2
35,3,3,4,3,3,3,3,3,3,3
31,2,3,2,3,3,3,2,2,3,2
52,2,2,3,3,2,1,1,2,2,2
60,2,4,4,4,2,2,3,3,3,2
52,1,4,3,2,1,1,1,1,1,2
72,1,4,1,1,1,1,1,1,2,3
29,2,3,3,4,2,1,1,4,3,2
34,1,4,1,4,3,1,1,1,2,3
24,2,4,2,1,1,1,1,2,2,1
34,1,4,3,3,4,1,3,3,2,2
40,1,3,1,4,3,1,1,1,1,3
73,3,4,3,4,1,1,3,3,1,105
24,1,2,1,3,2,1,1,1,2,3
47,2,4,2,3,3,2,2,3,3,3
46,3,4,1,3,3,1,2,3,3,1
65,1,4,1,3,3,1,1,3,2,2
19,4,4,4,4,4,1,1,3,1,2
37,4,2,2,3,1,1,1,2,1,1
32,2,3,1,2,4,1,2,3,3,3
51,3,2,3,3,3,2,3,3,3,3
23,2,4,4,1,1,1,1,4,1,2
52,4,1,4,4,1,1,1,2,3,2
40,1,4,1,4,1,1,3,3,3,1
45,3,2,3,4,2,2,4,2,4,5
31,1,4,1,4,3,1,1,2,3,4
54,1,3,1,2,2,1,1,2,1,2
42,2,2,2,2,1,2,4,4,1,1
41,4,4,4,4,4,4,4,4,4,2
45,2,3,1,3,1,3,3,3,3,2
73,3,4,2,3,3,2,2,3,2,3
64,3,4,4,3,1,1,3,3,2,4
45,2,4,2,1,1,3,3,4,2,2
63,2,4,2,4,1,1,1,4,1,1
30,3,4,4,3,3,4,3,2,2,3
49,2,3,3,3,2,1,1,2,2,2
50,3,3,2,3,3,1,1,2,2,1
46,1,4,2,4,4,1,2,4,2,1
37,4,4,4,2,1,1,1,1,1,2
36,4,4,3,4,3,4,3,3,3,1
44,1,3,1,1,1,1,2,1,2,3
64,1,1,2,4,3,1,1,3,3,2
76,3,4,1,1,1,1,1,2,1,2
67,2,4,3,3,3,3,3,3,3,2
20,3,4,3,4,4,2,2,4,2,2
48,1,4,1,3,2,1,1,3,2,2
46,3,3,1,3,1,1,1,3,3,3
66,1,4,1,2,2,2,2,4,1,2
43,2,3,3,4,1,2,2,3,2,2
53,1,4,4,4,2,1,1,1,2,2
33,1,1,1,4,4,1,1,2,2,1
28,1,1,1,3,2,1,1,2,2,1
41,2,4,2,2,1,1,1,3,2,5
34,4,4,3,4,4,2,3,4,4,2
23,3,3,3,3,3,3,3,3,3,2
64,1,3,2,2,1,1,2,2,3,2
30,3,3,3,3,2,1,3,3,3,2
25,1,3,3,4,2,1,1,2,3,1
22,1,3,1,1,3,1,1,1,3,4
19,1,2,1,3,3,1,1,1,3,2
68,4,4,3,4,1,1,1,1,3,1
59,2,3,2,4,1,1,1,2,1,1
46,1,4,1,2,2,1,2,2,2,2
36,3,4,3,2,3,3,3,2,3,1
31,1,2,2,3,3,1,1,1,1,2
24,2,2,1,1,1,1,1,1,1,3
32,4,4,3,3,3,1,1,1,3,1
25,2,3,3,3,4,1,2,3,3,2
19,4,4,1,3,4,1,1,1,4,1
20,1,4,3,3,3,1,3,3,3,2
65,1,4,1,2,2,1,2,2,1,1
54,1,3,4,2,1,1,1,2,2,3
18,3,4,2,4,4,3,3,3,4,2
65,2,3,1,1,1,1,1,2,2,5
24,1,4,3,3,1,1,1,3,3,1
24,2,4,3,2,3,1,1,2,2,2
44,2,4,3,3,2,1,1,1,2,2
23,3,2,4,2,2,4,1,3,3,3
56,2,4,1,4,2,1,1,4,3,3
52,3,4,2,4,4,1,4,4,4,2
49,4,4,4,1,1,1,1,4,2,1
53,1,4,3,1,1,1,1,2,1,2
36,1,3,3,3,3,3,2,3,2,2
54,4,4,4,3,3,1,1,1,4,1
40,1,4,1,3,2,1,1,2,2,2
21,2,3,1,3,4,1,3,3,3,4
29,2,4,3,3,3,1,1,1,3,3
28,1,1,1,3,1,1,1,1,3,1
52,1,3,3,3,1,1,1,3,1,1
24,4,4,1,1,2,1,1,2,2,1
19,3,1,2,4,2,1,1,2,2,1
28,3,4,3,3,3,1,1,3,1,1
28,4,3,2,2,2,1,1,2,3,2
22,1,2,2,3,4,1,1,1,1,2
22,3,4,1,3,3,1,1,3,4,2
25,1,2,1,4,3,1,1,2,3,2
34,2,2,2,2,3,2,3,2,3,3
64,1,2,3,4,1,1,3,4,3,2
44,3,4,3,4,4,2,3,3,3,1
29,2,3,3,3,2,2,2,2,3,4
24,2,2,2,2,2,2,3,2,2,5
49,1,4,1,2,2,2,1,3,4,2
38,4,4,3,3,3,3,3,3,4,2
31,2,4,2,2,2,1,1,4,2,1
49,3,3,2,2,1,1,1,1,2,2
53,4,4,2,1,1,1,1,3,2,2
42,1,3,3,3,2,1,2,3,2,1
36,2,4,1,4,1,1,1,3,3,3
58,3,3,2,4,4,3,2,4,3,2
41,3,4,1,4,3,1,1,2,3,2
22,1,4,1,4,3,1,1,4,2,1
40,1,2,1,4,1,1,1,2,2,2
39,2,3,2,3,2,1,1,2,1,2
23,3,4,2,2,1,1,1,1,1,2
34,1,3,2,3,3,1,1,1,3,3
30,4,4,4,2,4,4,4,4,4,3
63,2,3,1,2,1,1,1,2,1,2
18,4,4,1,3,2,1,3,3,4,2
57,2,4,3,2,1,1,4,3,2,1
19,3,3,1,3,3,1,3,3,3,1
33,3,4,3,3,3,3,4,3,3,5
