"age","newspapers","tv","radio","websites","socmed","doctor","healthprof","gov","famfriend","vacdistrust"
66,1,2,1,3,1,1,1,2,1,2
59,3,4,4,4,3,4,4,4,4,1
70,3,4,1,1,1,2,2,2,1,2
65,1,4,3,2,1,1,1,2,2,2
37,2,4,1,2,4,3,1,1,4,1
73,1,4,1,4,1,1,1,1,1,2
63,2,3,4,2,1,1,1,2,1,2
58,4,3,3,3,1,1,1,2,2,2
60,3,4,3,2,2,1,1,4,2,1
60,1,2,1,4,1,1,1,1,1,3
47,4,4,1,3,2,1,1,2,2,2
40,2,4,1,3,1,1,1,2,2,4
36,3,4,4,4,4,2,3,3,3,2
32,2,2,1,1,2,1,1,1,1,3
62,1,4,3,4,2,1,1,1,3,2
67,2,4,3,2,1,3,2,2,2,2
58,3,3,3,4,1,1,1,1,1,3
64,1,2,1,1,1,1,1,1,1,3
39,2,3,3,3,1,1,1,1,1,2
75,3,3,3,2,1,1,1,2,2,3
38,2,3,3,3,2,1,1,1,3,2
52,1,3,2,1,1,1,1,1,1,1
60,1,4,2,1,1,1,1,1,1,3
49,3,3,1,3,1,1,1,2,2,2
49,1,4,2,3,1,1,1,3,2,3
53,1,2,2,2,2,1,1,2,2,3
40,4,3,2,3,2,4,3,2,1,1
60,1,3,3,4,1,1,1,2,1,1
70,2,4,4,3,2,3,4,4,3,1
39,2,2,4,4,3,1,1,1,2,1
71,1,4,2,2,1,1,1,2,2,2
28,2,2,2,2,3,1,3,3,3,3
43,3,4,3,4,2,1,3,4,3,1
26,1,4,4,3,3,1,1,2,3,1
47,2,2,2,2,1,1,1,2,1,3
64,3,4,3,1,1,1,2,2,2,2
62,4,4,1,3,1,2,2,2,2,1
30,4,4,3,3,1,1,1,1,3,1
56,1,4,1,3,1,1,1,1,2,2
48,4,4,4,4,2,3,3,4,4,1
25,2,3,1,2,2,2,2,3,3,2
43,3,4,4,4,2,1,1,2,2,4
62,3,3,2,3,2,1,1,3,1,3
34,3,2,3,3,3,3,3,3,3,3
53,1,4,1,3,2,1,3,1,1,3
68,2,3,3,3,1,1,1,3,3,3
52,1,4,1,1,1,1,1,2,2,2
40,2,2,3,3,3,2,2,2,2,3
53,2,2,3,3,3,2,2,2,3,3
56,2,4,1,4,1,1,3,4,2,1
30,2,4,1,4,2,2,2,4,3,1
71,2,2,2,2,2,3,4,3,2,2
68,3,4,3,3,3,1,1,2,2,1
75,3,4,4,1,1,1,1,1,1,1
69,1,4,4,3,2,1,3,3,2,1
56,2,3,2,2,1,2,3,4,3,2
66,3,3,1,1,1,2,2,3,3,2
44,2,4,3,3,3,1,2,3,2,1
71,3,4,3,3,1,2,2,2,2,1
77,2,3,2,1,1,1,2,2,2,1
30,2,4,2,4,4,3,3,3,3,2
52,2,3,4,3,1,4,4,4,3,3
48,2,3,2,2,1,1,1,3,1,2
64,2,4,2,4,1,1,3,4,2,2
52,1,1,3,4,1,1,1,1,1,2
35,3,3,2,2,3,2,3,4,3,2
67,1,4,3,3,1,1,1,2,2,1
26,1,1,1,2,3,1,1,1,4,2
47,1,4,3,4,2,1,2,3,3,2
55,2,4,3,2,2,1,1,3,3,2
52,1,4,1,2,2,1,3,3,2,1
34,3,3,2,2,3,2,2,3,3,3
51,1,2,1,4,2,1,1,4,2,1
66,3,3,3,2,1,1,1,3,1,1
54,3,3,2,2,2,1,1,3,1,2
35,2,3,2,3,3,2,1,4,2,3
43,2,4,2,4,2,1,1,1,2,2
63,4,4,3,3,1,1,2,2,2,2
73,2,3,3,1,1,1,2,3,3,3
55,2,3,1,3,1,1,3,4,1,1
41,3,2,2,3,3,3,2,2,3,3
66,4,4,2,2,1,1,1,2,2,2
62,3,4,1,3,1,1,1,2,2,3
61,3,3,3,2,1,1,1,3,2,2
64,3,4,4,3,3,1,3,3,3,1
44,3,4,3,3,2,1,1,1,3,1
53,1,1,1,2,2,2,2,2,2,5
52,3,4,3,3,2,1,1,2,2,2
73,1,3,2,1,1,1,1,2,2,3
49,1,4,3,4,1,1,3,4,2,2
35,1,2,2,2,2,1,1,2,2,1
57,4,4,1,3,3,1,1,1,2,3
55,1,4,3,4,3,1,2,3,3,5
32,3,4,2,4,4,1,1,3,2,2
41,2,3,2,3,3,2,2,3,3,2
72,3,2,2,3,3,1,1,1,2,2
51,2,4,3,2,2,1,1,1,2,2
63,4,4,3,3,3,4,4,4,3,3
68,3,3,3,3,3,1,1,2,2,1
55,1,3,1,1,1,1,1,1,2,3
62,1,2,2,2,1,1,1,2,1,2
42,1,3,1,4,1,1,1,3,3,2
37,3,3,3,4,3,3,3,3,4,1
45,1,4,1,4,2,1,1,1,2,1
48,1,4,3,3,1,1,1,3,2,2
38,2,4,4,2,1,1,3,3,4,2
54,1,3,2,3,2,1,3,3,2,2
65,1,4,4,3,3,1,1,3,3,1
65,4,4,3,2,3,1,1,3,3,2
72,3,3,2,2,1,1,1,3,1,2
40,3,4,4,1,1,1,1,2,1,1
35,1,4,2,3,3,1,1,2,1,2
28,3,3,1,3,2,1,1,3,3,2
66,4,4,3,4,3,3,3,3,4,2
67,2,4,3,2,1,1,1,2,1,1
43,3,4,1,3,2,1,1,3,1,3
66,1,3,2,3,1,1,1,1,1,4
44,1,4,4,2,1,1,1,1,2,2
33,2,2,2,2,2,2,2,2,2,3
63,3,4,4,3,1,1,1,1,2,3
58,3,4,3,4,3,1,3,4,3,2
21,1,4,3,3,2,1,1,4,3,1
44,3,4,4,4,2,1,1,1,3,2
76,3,3,1,2,1,1,2,3,2,2
61,2,3,1,2,1,1,1,1,1,1
77,1,4,2,1,1,3,1,2,3,2
75,1,4,3,3,1,1,2,3,2,1
54,1,2,2,3,2,1,1,3,2,1
55,3,4,3,4,4,3,3,3,3,1
67,3,3,4,3,2,1,1,3,3,2
30,2,4,2,3,2,1,1,2,2,1
70,4,4,3,3,2,3,3,4,2,1
69,1,2,2,3,1,3,3,3,3,1
55,2,4,2,4,2,1,1,4,1,1
67,3,3,3,1,1,1,2,3,1,2
49,3,4,3,2,1,1,1,2,2,3
22,1,2,1,2,2,1,2,2,2,2
34,3,4,2,4,3,3,3,3,4,4
28,2,4,3,4,2,1,1,2,2,2
73,1,3,3,1,1,1,1,2,3,1
48,1,4,4,3,1,1,1,1,2,2
31,2,2,2,3,2,2,1,1,2,2
57,4,4,4,3,3,1,1,3,3,1
59,4,4,4,3,3,3,3,3,4,5
54,1,4,1,3,3,3,3,1,2,2
32,1,4,1,4,4,1,1,1,3,4
56,1,2,1,4,2,1,1,2,2,3
61,1,3,2,4,1,1,1,1,2,1
54,3,4,4,4,4,4,4,4,4,3
61,1,3,3,1,1,1,4,3,1,1
44,3,2,3,3,3,2,2,3,3,3
61,1,3,3,1,1,1,3,1,1,2
64,1,4,4,2,1,1,1,1,3,1
56,3,3,2,3,2,1,1,1,2,3
42,1,3,1,3,3,2,2,3,3,3
50,1,3,1,3,1,1,1,3,1,2
60,2,3,3,2,1,1,4,3,2,2
52,3,3,1,1,1,1,1,3,3,2
24,1,3,1,4,1,1,2,1,1,3
36,1,4,2,3,1,1,3,4,4,1
54,2,3,4,2,1,1,2,4,1,1
42,1,2,1,3,1,1,1,2,1,2
57,2,4,3,3,1,1,2,3,2,1
50,4,4,4,4,4,4,4,4,4,1
65,2,4,1,1,1,1,1,4,1,1
76,4,4,3,2,2,3,2,2,3,2
65,2,4,3,4,2,1,1,2,3,1
54,3,2,2,3,3,1,1,2,2,2
30,1,4,2,4,1,1,1,3,2,1
54,2,4,2,3,3,2,2,2,2,1
29,4,4,4,4,4,4,4,4,4,1
38,1,3,2,1,1,1,2,3,1,4
28,2,2,2,2,2,2,2,2,2,3
42,2,4,3,3,2,1,2,3,2,4
46,3,2,3,3,3,3,3,3,3,2
64,1,4,1,3,3,1,1,1,1,1
43,3,4,3,4,2,1,1,2,2,2
48,3,4,3,3,1,3,4,3,2,1
69,1,4,3,3,1,1,1,1,3,1
43,3,4,3,3,2,1,3,3,3,1
51,1,4,3,2,1,1,2,2,1,3
72,2,4,1,3,2,1,3,3,3,2
67,2,4,1,1,1,1,2,3,1,1
59,1,4,2,2,1,1,3,3,2,1
39,3,4,3,4,3,1,2,3,4,4
47,2,4,1,4,2,1,1,3,2,2
65,4,4,2,4,2,1,1,3,3,1
65,3,4,1,3,1,1,1,4,3,2
51,2,3,3,3,1,1,1,1,2,2
49,1,4,3,4,3,2,1,4,3,1
59,3,4,4,4,2,1,2,3,3,3
54,1,4,2,4,1,1,1,3,3,1
25,3,4,3,3,3,2,3,3,3,4
48,4,4,3,3,1,1,1,3,3,2
67,2,4,3,3,2,1,1,3,2,1
50,1,4,1,2,2,1,1,3,4,1
66,4,4,1,4,3,1,1,1,2,1
56,3,1,1,3,2,3,3,2,3,5
45,3,4,1,1,2,1,1,1,2,1
70,1,2,3,3,2,1,1,2,1,2
53,1,3,1,1,1,1,1,3,4,4
52,2,4,4,3,1,1,1,2,2,5
34,3,4,1,3,4,1,1,1,2,105
40,4,4,1,3,3,1,1,3,2,2
41,2,3,3,3,1,1,2,2,2,1
34,3,3,2,2,2,3,3,3,3,2
66,4,4,1,1,1,1,1,3,2,1
54,4,4,3,3,2,2,2,4,2,2
42,3,3,3,4,2,1,1,3,2,1
55,2,4,3,1,1,1,1,2,1,1
24,1,4,2,4,2,1,1,1,2,2
31,1,4,2,4,4,1,1,2,4,2
55,1,4,3,1,2,2,2,3,3,1
31,2,2,1,1,2,1,1,2,1,3
71,3,3,2,2,1,1,1,2,2,3
68,2,4,3,2,1,1,1,1,2,2
63,3,3,1,1,1,1,3,2,4,3
72,1,4,2,2,2,1,1,3,2,2
44,1,4,3,4,1,1,3,3,1,1
60,1,4,1,1,1,1,1,1,1,2
76,1,4,4,1,1,1,1,1,2,3
48,1,4,2,2,1,1,1,2,1,1
41,1,2,3,2,2,1,1,3,2,1
65,3,4,3,2,1,1,3,3,3,2
